result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t9_duplicate_false_positives_native,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,native,,duplicate false positives,14.2,,,,,percent,,reported_in_article,,identity evidence plus accumulated redundancy cost
t9_duplicate_false_positives_matchedlocal,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,matched local,,duplicate false positives,10.4,,,,,percent,,reported_in_article,,identity evidence plus accumulated redundancy cost
t9_duplicate_false_positives_DIAL-Full,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,,duplicate false positives,5.0,,,,,percent,,reported_in_article,,identity evidence plus accumulated redundancy cost
t9_duplicate_false_positives_delta,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,matched local,duplicate false positives delta,-5.4,,,,,percentage points,,reported_in_article,,identity evidence plus accumulated redundancy cost
t9_budget_saturation_misses_native,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,native,,budget saturation misses,11.5,,,,,percent,,reported_in_article,,released slots represent distinct objects
t9_budget_saturation_misses_matchedlocal,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,matched local,,budget saturation misses,8.6,,,,,percent,,reported_in_article,,released slots represent distinct objects
t9_budget_saturation_misses_DIAL-Full,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,,budget saturation misses,4.1,,,,,percent,,reported_in_article,,released slots represent distinct objects
t9_budget_saturation_misses_delta,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,matched local,budget saturation misses delta,-4.5,,,,,percentage points,,reported_in_article,,released slots represent distinct objects
t9_adjacent_object_false_suppression_matchedlocal,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,matched local,,adjacent object false suppression,1.5,,,,,percent,,reported_in_article,,learned identity prevents generic-diversity repulsion
t9_adjacent_object_false_suppression_DIAL-Full,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,,adjacent object false suppression,0.6,,,,,percent,,reported_in_article,,learned identity prevents generic-diversity repulsion
t9_adjacent_object_false_suppression_delta,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,matched local,adjacent object false suppression delta,-0.9,,,,,percentage points,,reported_in_article,,learned identity prevents generic-diversity repulsion
t9_graph_exposure_misses_matchedlocal,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,matched local,,graph exposure misses,2.0,,,,,percent,,reported_in_article,,relation cap and component exposure audit
t9_graph_exposure_misses_DIAL-Full,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,,graph exposure misses,0.4,,,,,percent,,reported_in_article,,relation cap and component exposure audit
t9_graph_exposure_misses_delta,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,matched local,graph exposure misses delta,-1.6,,,,,percentage points,,reported_in_article,,relation cap and component exposure audit
t9_absent_candidate_misses_native,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,native,,absent candidate misses,9.2,,,,,percent,,reported_in_article,,decisive frozen-stream negative control
t9_absent_candidate_misses_matchedlocal,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,matched local,,absent candidate misses,9.2,,,,,percent,,reported_in_article,,decisive frozen-stream negative control
t9_absent_candidate_misses_DIAL-Full,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,,absent candidate misses,9.2,,,,,percent,,reported_in_article,,decisive frozen-stream negative control
t9_absent_candidate_misses_delta,Table IX,error closure,COCO/CrowdHuman,frozen stream,primary,DIAL-Full,matched local,absent candidate misses delta,0.0,,,,,percentage points,,reported_in_article,,decisive frozen-stream negative control
